var,lead,season_year,season,p_abaixo,p_normal,p_acima,obs_cat
precipitacao,3,2018,SON,0.4391,0.3010,0.2599,1
precipitacao,3,2019,SON,0.3854,0.2323,0.3823,0
precipitacao,3,2020,SON,0.4414,0.2544,0.3042,0
precipitacao,3,2021,SON,0.4228,0.2615,0.3157,0
precipitacao,3,2022,SON,0.4579,0.3140,0.2281,2
precipitacao,3,2023,SON,0.5203,0.1961,0.2837,1
precipitacao,3,2024,SON,0.4329,0.2453,0.3218,0
precipitacao,3,1979,OND,0.3599,0.2497,0.3904,1
precipitacao,3,1980,OND,0.2523,0.4388,0.3089,2
precipitacao,3,1981,OND,0.2859,0.3718,0.3424,1
precipitacao,3,1982,OND,0.2716,0.3168,0.4116,2
precipitacao,3,1983,OND,0.2719,0.3151,0.4130,2
precipitacao,3,1984,OND,0.3281,0.3618,0.3101,1
precipitacao,3,1985,OND,0.3025,0.4078,0.2897,0
precipitacao,3,1986,OND,0.2772,0.4243,0.2985,2
precipitacao,3,1987,OND,0.2568,0.3324,0.4107,2
precipitacao,3,1988,OND,0.2918,0.4544,0.2538,0
precipitacao,3,1989,OND,0.3135,0.3891,0.2974,0
precipitacao,3,1990,OND,0.2430,0.4184,0.3387,0
precipitacao,3,1991,OND,0.2659,0.2917,0.4424,0
precipitacao,3,1992,OND,0.2266,0.3867,0.3866,1
precipitacao,3,1993,OND,0.3073,0.2878,0.4049,0
